phase,kpi,mean_of_means,std_of_means,n_runs
Drift,cqi,14.617301869303327,0.1802429066721814,5
Drift,delay,0.0053674753057899914,0.0007604291087986406,5
Drift,handover,0.9393040293040293,0.044864243963614964,5
Drift,harq_error,0.1027118631105163,0.09738478834586792,5
Drift,sinr,44.05061026735519,5.099170756786617,5
Drift,throughput,5745.034236444,144.11076778505506,5
Poisoning,cqi,14.57069569448031,0.2765601827754727,5
Poisoning,delay,0.005096115279024105,0.00042522906446748225,5
Poisoning,handover,0.8536932632584806,0.09195117978033973,5
Poisoning,harq_error,0.0656612685622193,0.056035997620069014,5
Poisoning,sinr,48.14028143174952,2.6246548658354074,5
Poisoning,throughput,6035.2805906511,343.1037144842384,5
Stable,cqi,14.614012666853167,0.23221440237749044,5
Stable,delay,0.005495507719112431,0.0008952860133950269,5
Stable,handover,0.7971748251748252,0.11286035845909961,5
Stable,harq_error,0.12491499645975439,0.10548234784115045,5
Stable,sinr,44.35055935975159,5.435263606112855,5
Stable,throughput,6238.860219130883,260.6605345460547,5
